iter	Logloss
0	0.6812795003
1	0.6714534457
2	0.6613239712
3	0.6519725739
4	0.643513513
5	0.6345885746
6	0.6269189138
7	0.6181480771
8	0.6097024585
9	0.6014349801
10	0.5934354389
11	0.5840993003
12	0.5765407502
13	0.5688133845
14	0.5613009135
15	0.5546544393
16	0.5467480856
17	0.5408458407
18	0.5362436204
19	0.5276544965
20	0.5206591288
21	0.5148897928
22	0.5081064133
23	0.5019434974
24	0.4970738244
25	0.4907988896
26	0.4835677374
27	0.4774328262
28	0.4726752024
29	0.4662217337
30	0.4587257325
31	0.4530659327
32	0.4478519985
33	0.4404091002
34	0.435613723
35	0.4294668531
36	0.4236509535
37	0.4181929694
38	0.4131078871
39	0.4069569906
40	0.4019536215
41	0.3977132525
42	0.3916305058
43	0.386002041
44	0.3811326405
45	0.3761419871
46	0.3707892403
47	0.3668019128
48	0.3622744121
49	0.3569551195
50	0.3522265601
51	0.3487080468
52	0.344270252
53	0.3412578219
54	0.3374074906
55	0.3327711196
56	0.3287556361
57	0.3258693635
58	0.3217994145
59	0.3180754223
60	0.3163397047
61	0.3117086622
62	0.3071443467
63	0.3044847458
64	0.3005604214
65	0.2968495081
66	0.2921203734
67	0.2888401576
68	0.2853474693
69	0.2827439687
70	0.279067206
71	0.2751677377
72	0.2721720499
73	0.269052233
74	0.2658590589
75	0.2627257695
76	0.259559268
77	0.256125768
78	0.2536940499
79	0.2509677978
80	0.2485393645
81	0.245880899
82	0.2432811071
83	0.2401266855
84	0.2380512026
85	0.2358048606
86	0.2336315882
87	0.2309736827
88	0.2282234979
89	0.2258757637
90	0.2240533375
91	0.2222333484
92	0.2197932289
93	0.2175155519
94	0.2153885251
95	0.2134973738
96	0.2113915701
97	0.2096945445
98	0.2072006559
99	0.2047161829
100	0.2028557914
101	0.2009719364
102	0.1990399285
103	0.1971838512
104	0.1951862517
105	0.1933919816
106	0.1917224763
107	0.1895086198
108	0.1873871334
109	0.1853646324
110	0.1836641402
111	0.1815579127
112	0.1794638558
113	0.1771990458
114	0.1748892163
115	0.1730375441
116	0.1715489039
117	0.1697065565
118	0.168083751
119	0.1664611877
120	0.1646725034
121	0.163206161
122	0.1617357315
123	0.1603063402
124	0.1591991848
125	0.1577705656
126	0.156400953
127	0.1542893062
128	0.1530331203
129	0.1516140832
130	0.1501188884
131	0.1487400267
132	0.147231874
133	0.1459927332
134	0.1446616612
135	0.1434582302
136	0.142057873
137	0.1407258775
138	0.1393750206
139	0.1382856672
140	0.1373379117
141	0.1362272596
142	0.134998927
143	0.1340706689
144	0.1329380368
145	0.1319105057
146	0.1306173537
147	0.1294570953
148	0.1284156073
149	0.1273714701
150	0.1260558991
151	0.1249901756
152	0.1239441917
153	0.1227799143
154	0.1217635927
155	0.1208364699
156	0.1200361933
157	0.1192345241
158	0.1186067036
159	0.1175930992
160	0.1170077929
161	0.1162266807
162	0.1154792422
163	0.1145026192
164	0.1134410283
165	0.1125522795
166	0.1117454559
167	0.1110419773
168	0.1102188958
169	0.1093299729
170	0.1084054462
171	0.1076027552
172	0.1070330938
173	0.1060670217
174	0.1051481111
175	0.1041588253
176	0.1031386512
177	0.1024834466
178	0.1015947584
179	0.1008050858
180	0.09986652647
181	0.09911762722
182	0.09823225415
183	0.09746880001
184	0.09673609052
185	0.09635550635
186	0.09549274899
187	0.09476754779
188	0.09393100133
189	0.09324848084
190	0.09271633814
191	0.09228641268
192	0.09156414819
193	0.09071960146
194	0.09019766914
195	0.08944432698
196	0.08893552659
197	0.08829699622
198	0.08779805047
199	0.08722796516
200	0.08652343447
201	0.08602759952
202	0.08530603893
203	0.08471065097
204	0.08402546625
205	0.08357408312
206	0.08282367767
207	0.08240032953
208	0.08192035887
209	0.08150633555
210	0.08085426452
211	0.08011645362
212	0.07953261572
213	0.07894943631
214	0.07851829226
215	0.07799654158
216	0.07747636523
217	0.07684742458
218	0.07645154378
219	0.07600381639
220	0.07565014703
221	0.07534687103
222	0.07498084174
223	0.07446031722
224	0.07400709485
225	0.0735335123
226	0.07304943932
227	0.0724821999
228	0.07198153602
229	0.07163151484
230	0.07110794007
231	0.07055123647
232	0.07026484656
233	0.06980233722
234	0.0694154482
235	0.06899994139
236	0.06874920073
237	0.06824464647
238	0.06782583963
239	0.06741910511
240	0.06702476078
241	0.06661546798
242	0.06627208468
243	0.0659035274
244	0.06540754863
245	0.06504611363
246	0.06475528838
247	0.0644272774
248	0.06412752848
249	0.06385076614
250	0.06346674949
251	0.06308070062
252	0.06271539416
253	0.06242914048
254	0.06212985705
255	0.06173194401
256	0.06139581923
257	0.06104211202
258	0.06065919286
259	0.06031952207
260	0.05980831858
261	0.05941306599
262	0.0591069933
263	0.05873805001
264	0.05842093816
265	0.05815751969
266	0.05788589281
267	0.05756414504
268	0.05732886375
269	0.05700495886
270	0.05677480546
271	0.05656037255
272	0.05626138808
273	0.05597416181
274	0.05565549835
275	0.05540303957
276	0.05506277841
277	0.05469796014
278	0.05439890756
279	0.05416722525
280	0.05387366764
281	0.05353542358
282	0.05322942658
283	0.05295999845
284	0.05275925379
285	0.05250597
286	0.05223970565
287	0.05193641451
288	0.05172207242
289	0.05143584902
290	0.05113964232
291	0.05095591242
292	0.05076875005
293	0.05054159013
294	0.05035224415
295	0.05007428972
296	0.04986215773
297	0.04957115083
298	0.0492944566
299	0.04906154057
300	0.04882359883
301	0.04857412217
302	0.04831919594
303	0.04812785557
304	0.04794640011
305	0.04767609399
306	0.04749967938
307	0.04723696482
308	0.04699490562
309	0.0467652669
310	0.04653426958
311	0.04628323752
312	0.04604898937
313	0.04578075712
314	0.04556426548
315	0.04535911575
316	0.04509642768
317	0.0449207321
318	0.04468288119
319	0.04438627334
320	0.04421447951
321	0.04400701371
322	0.04382332923
323	0.0435554073
324	0.04334431603
325	0.04314760178
326	0.04298787647
327	0.04280626963
328	0.0426158905
329	0.04242374783
330	0.04221918469
