iter	Passed	Remaining
0	155	155342
1	158	78969
2	160	53382
3	163	40587
4	166	33182
5	170	28295
6	173	24618
7	176	21896
8	178	19693
9	183	18170
10	186	16764
11	188	15547
12	191	14534
13	193	13662
14	196	12918
15	199	12289
16	201	11677
17	204	11143
18	206	10687
19	210	10301
20	212	9911
21	215	9595
22	218	9292
23	221	8999
24	223	8729
25	226	8469
26	227	8214
27	230	8009
28	233	7824
29	236	7640
30	238	7461
31	241	7302
32	244	7151
33	247	7019
34	250	6910
35	252	6753
36	254	6622
37	258	6538
38	260	6418
39	262	6309
40	264	6192
41	266	6079
42	268	5983
43	271	5890
44	273	5798
45	275	5713
46	279	5659
47	281	5575
48	283	5500
49	287	5464
50	289	5390
51	292	5327
52	294	5266
53	296	5200
54	299	5138
55	301	5076
56	303	5016
57	305	4955
58	307	4899
59	310	4864
60	312	4812
61	314	4761
62	317	4723
63	319	4678
64	321	4631
65	324	4593
66	326	4547
67	328	4504
68	330	4459
69	332	4416
70	334	4372
71	335	4329
72	337	4289
73	339	4249
74	342	4218
75	343	4182
76	345	4146
77	347	4110
78	349	4075
79	351	4041
80	353	4007
81	356	3988
82	358	3963
83	360	3932
84	362	3904
85	364	3875
86	366	3848
87	368	3820
88	370	3789
89	373	3773
90	375	3746
91	377	3721
92	379	3696
93	380	3671
94	382	3646
95	384	3620
96	387	3608
97	389	3588
98	391	3566
99	394	3547
100	396	3524
101	397	3500
102	399	3478
103	401	3456
104	403	3442
105	405	3422
106	407	3402
107	409	3380
108	411	3360
109	413	3343
110	415	3325
111	417	3308
112	420	3298
113	422	3281
114	423	3261
115	425	3243
116	427	3227
117	429	3210
118	431	3194
119	435	3196
120	437	3179
121	439	3166
122	442	3151
123	444	3137
124	446	3123
125	448	3109
126	451	3102
127	452	3084
128	454	3069
129	456	3055
130	458	3042
131	460	3028
132	467	3050
133	470	3038
134	472	3026
135	474	3013
136	476	3001
137	478	2988
138	480	2974
139	483	2970
140	485	2958
141	487	2945
142	489	2934
143	492	2925
144	494	2913
145	496	2902
146	499	2896
147	500	2881
148	502	2870
149	504	2859
150	506	2850
151	509	2839
152	510	2828
153	514	2824
154	516	2813
155	518	2802
156	520	2792
157	523	2789
158	525	2779
159	527	2769
160	529	2760
161	531	2751
162	533	2741
163	536	2733
164	538	2727
165	541	2718
166	543	2708
167	546	2706
168	548	2695
169	550	2687
170	552	2678
171	554	2668
172	556	2658
173	557	2648
174	559	2639
175	563	2638
176	565	2630
177	567	2621
178	569	2613
179	572	2606
180	574	2597
181	575	2588
182	578	2583
183	580	2574
184	582	2566
185	584	2556
186	586	2548
187	588	2539
188	590	2532
189	592	2526
190	594	2518
191	596	2510
192	598	2501
193	600	2493
194	602	2485
195	603	2476
196	605	2468
197	607	2462
198	610	2455
199	611	2447
200	613	2440
201	616	2434
202	618	2427
203	620	2419
204	622	2413
205	625	2409
206	626	2399
207	628	2394
208	630	2387
209	632	2380
210	634	2373
211	636	2364
212	637	2356
213	640	2353
214	642	2346
215	644	2339
216	646	2333
217	648	2327
